customerID,gender,SeniorCitizen,Partner,Dependents,tenure(months),TravelFrequency,PreferredMode,LoyaltyProgram,DestinationType,OnlineBooking,TravelInsurance,PackageType,TechSupport,LocalGuides,HotelService,Contract,PaperlessBooking,PaymentMethod,BookingCharges($),TotalSpent($),Churn
1,Female,false,false,true,32,Weekly,Train,true,City,false,true,Standard,true,false,false,One-time,true,Bank Transfer,174,773,true
2,Female,true,true,false,5,Weekly,Car,true,City,true,false,Budget,false,true,false,One-time,false,Bank Transfer,153,920,false
3,Female,false,false,true,8,Monthly,Train,true,Mountain,true,false,Standard,false,true,true,One-time,false,Bank Transfer,484,774,false
4,Female,false,false,false,5,Yearly,Train,true,Mountain,true,false,Budget,true,false,true,Yearly,true,Cash,174,898,true
5,Male,true,true,false,49,Weekly,Car,true,City,true,true,Luxury,true,true,true,Yearly,true,PayPal,239,695,false
6,Non-binary,false,false,false,46,Yearly,Car,false,Mountain,true,true,Standard,true,false,false,Yearly,false,Bank Transfer,397,289,true
7,Female,false,true,false,45,Yearly,Airplane,false,City,true,true,Luxury,false,false,false,Monthly,true,PayPal,344,671,false
8,Agender,false,true,false,32,Weekly,Airplane,true,Beach,false,false,Budget,true,true,false,Monthly,false,Credit Card,237,453,false
9,Male,true,false,false,27,Yearly,Airplane,false,City,true,true,Standard,true,false,true,Yearly,true,Credit Card,401,893,true
10,Female,false,false,true,33,Yearly,Car,true,City,true,false,Standard,false,true,true,Yearly,false,Cash,126,500,true
11,Female,false,false,true,16,Yearly,Airplane,false,City,false,true,Luxury,false,false,false,Monthly,false,Credit Card,429,313,false
12,Female,false,true,true,19,Yearly,Airplane,true,City,true,false,Luxury,false,true,true,Yearly,false,Credit Card,296,155,true
13,Male,false,false,true,4,Weekly,Car,false,City,false,false,Luxury,true,false,false,Yearly,false,Cash,284,775,false
14,Male,true,true,true,26,Yearly,Car,true,City,true,true,Luxury,true,true,true,Yearly,true,Cash,211,183,true
15,Male,false,false,true,47,Monthly,Airplane,false,Beach,true,false,Standard,false,false,false,Yearly,true,Credit Card,287,350,false
